Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| | *elections:* last held on 26 October 2014 (next to be held by 27 October 2019) |
| | *election results:* percent of vote by party/coalition - NF 22.1%, BPP 21.8%, Samopomich 11%, OB 9.4%, Radical 7.4%, Batkivshchyna 5.7%, Svoboda 4.7%, CPU 3.9%, other 14%; seats by party/coalition - BPP 132, NF 82, Samopomich 33, OB 29, Radical 22, Batkivshchyna 19, Svoboda 6, other 4, independent 96, vacant 27; composition - men 374, women 49, percent of women 12%; note - voting not held in Crimea and parts of two Russian-occupied eastern oblasts leaving 27 seats vacant |
| | *note:* Â seats by party/coalition as of December 2018 - BPP 135, NF 81, OB 38, Samopomich 25, Vidrodzhennya 24, Radical 21, Batkivshchyna 20, VN 19, independent 60, vacant 27; composition - men 371, women 52, percent of women 12.3% |
| **United Arab Emirates** | *description:* unicameral Federal National Council (FNC) or Majlis al-Ittihad al-Watani (40 seats; 20 members indirectly elected by an electoral college whose members are selected by each emirate ruler proportional to its FNC membership, and 20 members appointed by the rulers of the 7 constituent states; members serve 4-year terms) |
| | *elections:* last held on 3 October 2015 (next to be held in 2019); note - the electoral college was expanded from 129,274 electors in the December 2011 election to 224,279 in the October 2015 election; 347 candidates including 78 women ran for 20 contested seats in the 40-member FNC |
| | *election results:* 19 men and 1 woman were elected; seats by emirate - Abu Dhabi 4, Dubai 4, Sharjah 3, Ras al-Khaimah 3, Ajman 2, Fujairah 2, Umm al-Quwain 2; note - only 1 woman (from Ras Al Khaimah) won an FNC seat |
| **United Kingdom** | *description:* bicameral Parliament consists of: |
| | House of Lords (membership not fixed; as of May 2018, 780 lords were eligible to participate in the work of the House of Lords - 664 life peers, 90 hereditary peers, and 26 clergy; members are appointed by the monarch on the advice of the prime minister and non-party political members recommended by the House of Lords Appointments Commission); note - House of Lords total does not include ineligible members or members on leave of absence |
| | House of Commons (650 seats; members directly elected in single-seat constituencies by simple majority popular vote to serve 5-year terms unless the House is dissolved earlier) |
| | *elections:* |
| | House of Lords - no elections; note - in 1999, as provided by the House of Lords Act, elections were held in the House of Lords to determine the 92 hereditary peers who would remain; elections held only as vacancies in the hereditary peerage arise) |
| | House of Commons - last held on 8 June 2017 (next to be held by 5 May 2022) |
| | *election results:* |
| | House of Lords - composition - men 583, women 208, percent of women 26.3% |
| | House of Commons - percent of vote by party - Conservative 42.3%, Labor 40.0%, SNP 43.0%, Lib Dems 7.4%, DUP 0.9%, Sinn Fein 0.7%, Plaid Cymru 0.5%,other 0.6%; seats by party - Conservative 317, Labor 262, SNP 35, Lib Dems 12, DUP 10, Sinn Fein 7, Plaid Cymru 4, other 3; composition - men 442, women 208, percent of women 32%; total Parliament percent of women 28.9% |
| **United States** | *description:* bicameral Congress consists of: |
| | Senate (100 seats; 2 members directly elected in each of the 50 state constituencies by simple majority vote except in Georgia and Louisiana which require an absolute majority vote with a second round if needed; members serve 6-year terms with one-third of membership renewed every 2 years) |
| | House of Representatives (435 seats; members directly elected in single-seat constituencies by simple majority vote except in Georgia which requires an absolute majority vote with a second round if needed; members serve 2-year terms) |
| | *elections:* |
| | Senate - last held onÂ 6 November 2018 (next to be held onÂ 3 November 2020) |
| | House of Representatives - last held onÂ 6 November 2018 (next to be held onÂ 3 November 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - Republican Party 53, Democratic Party 45, independent 2;Â  |
| | House of Representatives - percent of vote by party - NA; seats by party - Democratic Party 234, Republican Party 200; note -Â 1 seat has yet to be decided |
| | *note:* in addition to the regular members of the House of Representatives there are 6 non-voting delegates elected from the District of Columbia and the US territories of American Samoa, Guam, Puerto Rico, the Northern Mariana Islands, and the Virgin Islands; these are single seat constituencies directly elected by simple majority vote to serve a 2-year term (except for the resident commissioner of Puerto Rico who serves a 4-year term); the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegates last held on 8 November 2016 (next to be held on 6 November 2018) |
| **Uruguay** | *description:* bicameral General Assembly or Asamblea General consists of: |
| | Chamber of Senators or Camara de Senadores (31 seats; members directly elected in a single nationwide constituency by proportional representation vote; the vice-president serves as the presiding ex-officio member; elected members serve 5-year terms) |
| | Chamber of Representatives or Camara de Representantes (99 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) |
| | *elections:* |
| | Chamber of Senators - last held on 26 October 2014 (next to be held in October 2019); Chamber of Representatives - last held on 26 October 2014 (next to be held in October 2019) |
| | *election results:* |
| | Chamber of Senators - percent of vote by coalition/party - Frente Amplio 49.5%, National Party 31.9%, Colorado Party 13.3%, Independent Party 3.2%, other 2.1%; seats by coalition/party - Frente Amplio 15, National Party 10, Colorado Party 4, Independent Party 1 |
| | Chamber of Representatives - percent of vote by coalition/party - Frente Amplio 49.5%, National Party 31.9%, Colorado Party 13.3%, Independent Party 3.2%, AP 1.2%, other 0.9%; seats by coalition/party - Frente Amplio 50, National Party 32, Colorado Party 13, Independent Party 3, AP 1 |
| **Uzbekistan** | *description:* bicameral Supreme Assembly or Oliy Majlis consists of: |
| | Senate (100 seats; 84 members indirectly elected by regional governing councils and 16 appointed by the president; members serve 5-year terms) |
| | Legislative Chamber or Qonunchilik Palatasi (150 seats; 135 members directly elected in single-seat constituencies by absolute majority vote with a second round, if needed, and 15 indirectly elected by the Ecological Movement of Uzbekistan; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held 13-14 January 2015 (next to be held in 2020) |
| | Legislative Chamber - last held on 21 December 2014 and 4 January 2015 (next to be held in December 2019) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - NA; composition - men 83, women 17, percent of women 17% |
| | Legislative Chamber - percent of vote by party - NA; seats by party - LDPU 52, National Revival Democratic Party 36, NDP 27, Adolat 20, Ecological Movement 15; composition - men 126, women 24, percent of women 16%; note - total Supreme Assembly percent of women 16.4% |
| | *note:* all parties in the Supreme Assembly support President Shavkat MIRZIYOYEV |
| **Vanuatu** | *description:* unicameral Parliament (52 seats; members directly elected in multi-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* last held on 22 January 2016 (next to be held in 2020) |
| | *election results:* percent of vote by party - NA; seats by party - VP 8, PPP 6, UMP 5, GJP 4, NUP 4, IG 3, GC 3, NAG 3, RMC 3, MPP 2, NIPDP 2, PSP 1, VLDP 1, VNP 1, VPDP 1, VRP 1, and independent 4; note - political party associations are fluid |
| | *note:* the National Council of Chiefs advises on matters of culture and language |
| **Venezuela** | *description:* unicameral National Assembly or Asamblea Nacional (167 seats; 113 members directly elected in single- and multi-seat constituencies by simple majority vote, 51 directly elected in multi-seat constituencies by proportional representation vote, and 3 seats reserved for indigenous peoples of Venezuela; members serve 5-year terms) |
| | *elections:* last held on 6 December 2015 (next expected to be held in 2018) |
| | *election results:* percent of vote by party - MUD (opposition coalition) 56.2%, PSUV (pro-government) 40.9%, other 2.9%; seats by party - MUD 109, PSUV 55, indigenous peoples 3 |
| **Vietnam** | *description:* unicameral National Assembly or Quoc Hoi (500 seats - current number following 2016 election - 496; members directly elected by absolute majority vote with a second round if needed; members serve 5-year terms) |
| | *elections:* last held on 22 May 2016 (next to be held in May 2021) |
| | *election results:* percent of vote by party - CPV 95.8%, non-party members 4.2%; seats by party - CPV 473, non-party CPV-approved 19, self-nominated 2; note - 496 candidates elected, 2 CPV candidates-elect were disqualified; composition - men 374, women 122, percent of women 24.6% |
| **Virgin Islands** | *description:* unicameral Senate (15 seats; members directly elected in single- and multi-seat constituencies by simple majority popular vote to serve 2-year terms) |
| | *elections:* last held onÂ 6 November 2018 (next to be held in November 2020) |
| | *election results:* percent of vote by party - NA; seats by party - Democratic Party 13, independent 2 |
| | *note:* the Virgin Islands directly elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House, but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegate last held onÂ 6 November 2018 (next to be held in November 2020) |
| **Wallis and Futuna** | *description:* unicameral Territorial Assembly or Assemblee Territoriale (20 seats - Wallis 13, Futuna 7; members directly elected in multi-seat constituencies by party-list proportional representation vote to serve 5-year terms) |
| | Wallis and Futuna indirectly elects 1 senator to the French Senate by an electoral college by absolute majority vote in 2 rounds if needed for a 6-year term, and 1 deputy directly elected to the French National Assembly by absolute majority vote for a 5-year term |
| | *elections:* Territorial Assembly - last held on 26 March 2017 (next to be held in March 2022) |
| | *election results:* Territorial Assembly - percent of vote by party - NA; seats by party - 2 members are elected from the list Fia gaue fakatahi kihe kaha'u e lelei and 1 each from 18 other lists; composition - men 14, women 6, percent of women 30% |
| | French Senate - last held on 28 September 2014 (next to be held by September 2020) French National Assembly - last held on 11 June 2017 (next to be held in June 2022) French Senate - 1 seat: LR 1 French National Assembly - 1 seat: independent 1 |
| **World** | there are 230 political entities with legislative bodies; of these 144 are unicameral (a single â€œhouseâ€?) and 86 are bicameral (both upper and lower houses); note - while there are 195 countries in the world, 35 territories, possessions, or other special administrative units also have their own governing bodies |
| **Yemen** | *description:* bicameral Parliament or Majlis consists of: |
| | Shura Council or Majlis Alshoora (111 seats; members appointed by the president; member tenure NA) |
| | House of Representatives or Majlis al Nuwaab (301 seats; members directly elected in single-seat constituencies by simple majority vote to serve 6-year terms) |
| | *elections:* |
| | House of Representatives - last held on 27 April 2003 (next scheduled for April 2009 but postponed indefinitely) |
| | *election results:* |
| | percent of vote by party - GPC 58.0%, Islah 22.6%, YSP 3.8%, Unionist Party 1.9%, other 13.7%; seats by party - GPC 238, Islah 46, YSP 8, Nasserist Unionist Party 3, National Arab Socialist Ba'ath Party 2, independent 4 |
| **Zambia** | *description:* unicameral National Assembly (164 seats; 156 members directly elected in single-seat constituencies by simple majority vote in 2 rounds if needed, and 8 appointed by the president; members serve 5-year terms); note - 6 additional electoral seats were added for the 11 August 2016 election, up from 150 electoral seats in the 2011 election |
| | *elections:* last held on 11 August 2016 (next to be held in 2021) |
| | *election results:* percent of vote by party - PF 42%, UPND 41.7%, MMD 2.7%, FDD 2.2%, other 1.9%,independent 9.5%; seats by party - PF 80, UPND 58, MMD 3, FDD 1, independent 14 |
| **Zimbabwe** | *description:* bicameral Parliament consists of: |
